epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2702293395996094,0.0010000000474974513,2.8661117553710938,0.2163461595773697,3.577345609664917
1,0.5090349316596985,0.0010000000474974513,1.8362165689468384,0.2788461446762085,3.1682522296905518
2,0.6295919418334961,0.0010000000474974513,1.3702547550201416,0.5192307829856873,2.106442451477051
3,0.7124702334403992,0.0010000000474974513,1.0587291717529297,0.526442289352417,2.179462432861328
4,0.7626588344573975,0.0010000000474974513,0.8574316501617432,0.588942289352417,1.8651224374771118
5,0.8050784468650818,0.0010000000474974513,0.6966583132743835,0.49038460850715637,2.703378915786743
6,0.8390836119651794,0.0010000000474974513,0.5655487775802612,0.598557710647583,1.9282846450805664
7,0.8577988743782043,0.0010000000474974513,0.4907180070877075,0.6217948794364929,1.8157143592834473
8,0.8765389323234558,0.0010000000474974513,0.41001492738723755,0.5993589758872986,1.9823044538497925
9,0.8906870484352112,0.0010000000474974513,0.3621450960636139,0.5825320482254028,1.9551101922988892
10,0.9077392816543579,0.0010000000474974513,0.2998068630695343,0.5833333134651184,2.3728864192962646
11,0.9103206992149353,0.0010000000474974513,0.2845154404640198,0.6602563858032227,1.7530713081359863
12,0.923475980758667,0.0010000000474974513,0.24237118661403656,0.48076921701431274,3.8871424198150635
13,0.9293338060379028,0.0010000000474974513,0.2222374826669693,0.6306089758872986,2.154268980026245
14,0.9347448348999023,0.0010000000474974513,0.19969390332698822,0.6538461446762085,1.8183495998382568
15,0.9393367767333984,0.0010000000474974513,0.1835959255695343,0.6378205418586731,1.9329708814620972
16,0.9429110288619995,0.0010000000474974513,0.16381806135177612,0.6241987347602844,2.3149797916412354
17,0.9439287185668945,0.0010000000474974513,0.15984292328357697,0.6786859035491943,2.083299398422241
18,0.952963650226593,0.0010000000474974513,0.13851585984230042,0.6866987347602844,1.9588934183120728
19,0.9484958052635193,0.0010000000474974513,0.1468183845281601,0.6386218070983887,2.1500184535980225
20,0.9562649130821228,0.0010000000474974513,0.12251055985689163,0.6506410241127014,2.013803482055664
21,0.9555947184562683,0.0010000000474974513,0.12432915717363358,0.6810897588729858,1.9434399604797363
22,0.978455126285553,0.0005000000237487257,0.054845891892910004,0.7299679517745972,1.5838854312896729
23,0.9814336895942688,0.0005000000237487257,0.04312250390648842,0.7275640964508057,1.8407166004180908
24,0.9804159998893738,0.0005000000237487257,0.04780499264597893,0.7115384340286255,1.9377912282943726
25,0.9793983101844788,0.0005000000237487257,0.04966340214014053,0.7371794581413269,1.5952308177947998
26,0.9817315340042114,0.0005000000237487257,0.0434134267270565,0.7275640964508057,1.679099678993225
27,0.9811606407165527,0.0005000000237487257,0.043533265590667725,0.7179487347602844,1.9256256818771362
28,0.9796962141990662,0.0005000000237487257,0.04554150253534317,0.6995192170143127,1.871294617652893
29,0.9815825819969177,0.0005000000237487257,0.042688608169555664,0.7435897588729858,1.886679768562317
30,0.9815825819969177,0.0005000000237487257,0.04215596243739128,0.7099359035491943,1.7858072519302368
31,0.9797210097312927,0.0005000000237487257,0.04811054468154907,0.7467948794364929,1.6479181051254272
32,0.9814833402633667,0.0005000000237487257,0.03913281112909317,0.7588140964508057,1.53739333152771
33,0.9820045828819275,0.0005000000237487257,0.04033597931265831,0.6891025900840759,2.3613150119781494
34,0.9814088344573975,0.0005000000237487257,0.040480177849531174,0.7067307829856873,1.929771065711975
35,0.9822775721549988,0.0005000000237487257,0.03943596035242081,0.6875,2.3541862964630127
36,0.9802919030189514,0.0005000000237487257,0.04185962304472923,0.7171474099159241,2.0348961353302
37,0.9817315340042114,0.0005000000237487257,0.03748013824224472,0.7107371687889099,2.048339366912842
38,0.982079029083252,0.0005000000237487257,0.04032117500901222,0.7163461446762085,1.8001880645751953
39,0.9810861945152283,0.0005000000237487257,0.04027361422777176,0.7259615659713745,1.8040305376052856
40,0.9815081357955933,0.0005000000237487257,0.039305366575717926,0.7123397588729858,1.949764370918274
41,0.9827243685722351,0.0005000000237487257,0.03688427433371544,0.7219551205635071,2.0622761249542236
42,0.9815577864646912,0.0005000000237487257,0.03896787017583847,0.7155448794364929,1.853293776512146
43,0.9863731265068054,0.0002500000118743628,0.02635512314736843,0.7291666865348816,1.8484739065170288
44,0.9867702722549438,0.0002500000118743628,0.02359599992632866,0.7307692170143127,1.7462530136108398
45,0.9869440197944641,0.0002500000118743628,0.023981334641575813,0.7508012652397156,1.6972765922546387
46,0.9872170090675354,0.0002500000118743628,0.02403736300766468,0.6850961446762085,2.016544818878174
47,0.9859511256217957,0.0002500000118743628,0.024760276079177856,0.7604166865348816,1.8071237802505493
